Incident ID,Incident Date,Month,Year,State,City Or County,Address,# Killed,# Injured,TotalKilled2021,TotalInjured2021,No_events21,TotalKilled2020,TotalInjured2020,No_events20,TotalKilled2019,TotalInjured2019,No_events19,TotalKilled2018,TotalInjured2018,No_events18,TotalKilled2017,TotalInjured2017,No_events17,TotalKilled2016,TotalInjured2016,No_events16,TotalKilled2015,TotalInjured2015,No_events15,TotalKilled2014,TotalInjured2014,No_events2014
2172178,21/11/2021,11,2021,New Jersey,Passaic,Howe Ave and Lafayette Ave,0,5,640,2628,638,514,2543,611,465,1709,417,370,1324,334,441,1807,348,452,1536,382,367,1135,335,270,1085,272
2172657,21/11/2021,11,2021,Louisiana,Baton Rouge,4888 Plank Rd,1,4,,,,,,,,,,,,,,,,,,,,,,,,
2171568,20/11/2021,11,2021,California,Fresno,3665 N Pleasant Ave,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2172018,20/11/2021,11,2021,Illinois,Berwyn,6802 W 26th St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2170438,18/11/2021,11,2021,Maryland,Cambridge,700 block of Greenwood Ave,1,3,,,,,,,,,,,,,,,,,,,,,,,,
2169719,17/11/2021,11,2021,Illinois,East Saint Louis,8300 block of State St,1,3,,,,,,,,,,,,,,,,,,,,,,,,
2169494,17/11/2021,11,2021,New York,Bronx,815 Burke Ave,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2170140,17/11/2021,11,2021,New York,Newburgh,William Street and Carson Ave,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2168989,17/11/2021,11,2021,Illinois,Chicago,1240 W Randolph St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2167778,15/11/2021,11,2021,New York,New York (Manhattan),101 W 141st St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2167297,15/11/2021,11,2021,Colorado,Aurora,1200 Nome St,0,6,,,,,,,,,,,,,,,,,,,,,,,,
2166673,14/11/2021,11,2021,Pennsylvania,Philadelphia,2700 block of N Howard St,0,6,,,,,,,,,,,,,,,,,,,,,,,,
2166768,14/11/2021,11,2021,Missouri,Columbia,19 N 5th St,1,5,,,,,,,,,,,,,,,,,,,,,,,,
2166953,14/11/2021,11,2021,Oregon,Chiloquin,990 Bronco Lane,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2166750,14/11/2021,11,2021,Arizona,Tucson,1655 W Ajo Way,4,1,,,,,,,,,,,,,,,,,,,,,,,,
2166817,14/11/2021,11,2021,Alabama,Troy,803 US-231 S,1,5,,,,,,,,,,,,,,,,,,,,,,,,
2166055,13/11/2021,11,2021,North Carolina,Winston Salem (Winston-salem),400 block of Gregory St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2167889,13/11/2021,11,2021,Louisiana,Houma,100 block of Emma St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2165600,12/11/2021,11,2021,Virginia,Richmond,3050 Nine Mile Rd,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2165535,12/11/2021,11,2021,Alabama,Birmingham,1100 block of 33rd St SW,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2163306,09/11/2021,11,2021,New York,Rochester,Clifton St and Jefferson Ave,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2163617,09/11/2021,11,2021,South Dakota,Scotland,710 2nd St,3,2,,,,,,,,,,,,,,,,,,,,,,,,
2163772,09/11/2021,11,2021,Louisiana,Hahnville (Killona),160 Killona Dr,1,4,,,,,,,,,,,,,,,,,,,,,,,,
2162196,08/11/2021,11,2021,Texas,Victoria,10700 FM 236,3,1,,,,,,,,,,,,,,,,,,,,,,,,
2162269,08/11/2021,11,2021,Pennsylvania,Philadelphia,200 block of E Louden St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2161323,07/11/2021,11,2021,Wisconsin,Kenosha,625 57th St,1,3,,,,,,,,,,,,,,,,,,,,,,,,
2161116,06/11/2021,11,2021,California,Oakley,33 Malicoat Ave,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2160608,06/11/2021,11,2021,Texas,Marshall,510 S Alamo Blvd,0,6,,,,,,,,,,,,,,,,,,,,,,,,
2161078,06/11/2021,11,2021,California,Highland,26998 3rd St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2160838,05/11/2021,11,2021,California,Oakland,8400 block of International Blvd,1,3,,,,,,,,,,,,,,,,,,,,,,,,
2158524,03/11/2021,11,2021,Iowa,Des Moines,11300 block of E 15th St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2158417,03/11/2021,11,2021,Virginia,Norfolk,821 Whitaker Ln,3,2,,,,,,,,,,,,,,,,,,,,,,,,
2157991,02/11/2021,11,2021,Alabama,Mobile,4120 Government Blvd,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2156175,01/11/2021,11,2021,Florida,Orlando,N Orange Ave and Wall St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2157206,01/11/2021,11,2021,Texas,San Antonio,1900 block of W Laurel St,0,4,,,,,,,,,,,,,,,,,,,,,,,,
2155369,31/10/2021,10,2021,Kentucky,Louisville,6210 Shepherdsville Rd,2,2,,,,,,,,,,,,,,,,,,,,,,,,
2155329,31/10/2021,10,2021,Illinois,Joliet,1018 E Jackson St,2,12,,,,,,,,,,,,,,,,,,,,,,,,
